name,osc_mix,osc_tune,osc_fine_tune,glide_mode,glide_rate,glide_bend,filter_freq,filter_reso,filter_env,filter_lfo,filter_velocity,filter_attack,filter_decay,filter_sustain,filter_release,env_attack,env_decay,env_sustain,env_release,lfo_rate,vibrato,noise,octave,tuning,output,poly_mode
Init,0.00, -12.00, 0.00, 0.00,35.00,0.00,100.00,15.00,50.00,0.00,0.00,0.00,30.00, 0.00, 25.00, 0.00, 50.00, 100.00, 30.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00,1.00
5th Sweep Pad, 100.00, -7.00, -6.30, 1.00, 32.00, 0.00, 90.00, 60.00, -76.00, 0.00, 0.00, 90.00, 89.00, 90.00, 73.00, 0.00, 50.00, 100.00, 71.00, 0.81, 30.00, 0.00, 0.00, 0.00, 0.00, 1.00
Echo Pad [SA], 88.00, 0.00, 0.00, 0.00, 49.00, 0.00, 46.00, 76.00, 38.00, 10.00, 38.00, 100.00, 86.00, 76.00, 57.00, 30.00, 80.00, 68.00, 66.00, 0.79, -74.00, 25.00, 0.00, 0.00, 0.00, 1.00
Space Chimes [SA], 88.00, 0.00, 0.00, 0.00, 49.00, 0.00, 49.00, 82.00, 32.00, 8.00, 78.00, 85.00, 69.00, 76.00, 47.00, 12.00, 22.00, 55.00, 66.00, 0.89, -32.00, 0.00, 2.00, 0.00, 0.00, 1.00
Solid Backing, 100.00, -12.00, -18.70, 0.00, 35.00, 0.00, 30.00, 25.00, 40.00, 0.00, 26.00, 0.00, 35.00, 0.00, 25.00, 0.00, 50.00, 100.00, 30.00, 0.81, 0.00, 50.00, 0.00, 0.00, 0.00, 1.00
Velocity Backing [SA], 41.00, 0.00, 9.70, 0.00, 8.00, -1.68, 49.00, 1.00, -32.00, 0.00, 86.00, 61.00, 87.00, 100.00, 93.00, 11.00, 48.00, 98.00, 32.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
Rubber Backing [ZF], 29.00, 12.00, -5.60, 0.00, 18.00, 5.06, 35.00, 15.00, 54.00, 14.00, 8.00, 0.00, 42.00, 13.00, 21.00, 0.00, 56.00, 0.00, 32.00, 0.20, 16.00, 22.00, 0.00, 0.00, 0.00, 1.00
808 State Lead, 100.00, 7.00, -7.10, 2.00, 34.00, 12.35, 65.00, 63.00, 50.00, 16.00, 0.00, 0.00, 30.00, 0.00, 25.00, 17.00, 50.00, 100.00, 3.00, 0.81, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
Mono Glide, 0.00, -12.00, 0.00, 2.00, 46.00, 0.00, 51.00, 0.00, 0.00, 0.00, -100.00, 0.00, 30.00, 0.00, 25.00, 37.00, 50.00, 100.00, 38.00, 0.81, 24.00, 0.00, 0.00, 0.00, 0.00, 0.00
Detuned Techno Lead, 84.00, 0.00, -17.20, 2.00, 41.00, -0.15, 54.00, 1.00, 16.00, 21.00, 34.00, 0.00, 9.00, 100.00, 25.00, 20.00, 85.00, 100.00, 30.00, 0.83, -82.00, 40.00, 0.00, 0.00, 0.00, 1.00
Hard Lead [SA], 71.00, 12.00, 0.00, 0.00, 24.00, 36.00, 56.00, 52.00, 38.00, 19.00, 40.00, 100.00, 14.00, 65.00, 95.00, 7.00, 91.00, 100.00, 15.00, 0.84, -34.00, 0.00, 0.00, 0.00, 0.00, 1.00
Bubble, 0.00, -12.00, -0.20, 0.00, 71.00, -0.00, 23.00, 77.00, 60.00, 32.00, 26.00, 40.00, 18.00, 66.00, 14.00, 0.00, 38.00, 65.00, 16.00, 0.48, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00
Monosynth, 62.00, -12.00, 0.00, 1.00, 35.00, 0.02, 64.00, 39.00, 2.00, 65.00, -100.00, 7.00, 52.00, 24.00, 84.00, 13.00, 30.00, 76.00, 21.00, 0.58, -40.00, 0.00, -1.00, 0.00, 0.00, 0.00
Moogcury Lite, 81.00, 24.00, -9.80, 1.00, 15.00, -0.97, 39.00, 17.00, 38.00, 40.00, 24.00, 0.00, 47.00, 19.00, 37.00, 0.00, 50.00, 20.00, 33.00, 0.38, 6.00, 0.00, -2.00, 0.00, 0.00, 0.00
Gangsta Whine, 0.00, 0.00, 0.00, 2.00, 44.00, 0.00, 41.00, 46.00, 0.00, 0.00, -100.00, 0.00, 0.00, 100.00, 25.00, 15.00, 50.00, 100.00, 32.00, 0.81, -2.00, 0.00, 2.00, 0.00, 0.00, 0.00
Higher Synth [ZF], 48.00, 0.00, -8.80, 0.00, 0.00, 0.00, 50.00, 47.00, 46.00, 30.00, 60.00, 0.00, 10.00, 0.00, 7.00, 0.00, 42.00, 0.00, 22.00, 0.21, 18.00, 16.00, 2.00, 0.00, 0.00, 1.00
303 Saw Bass, 0.00, 0.00, 0.00, 1.00, 49.00, 0.00, 55.00, 75.00, 38.00, 35.00, 0.00, 0.00, 56.00, 0.00, 56.00, 0.00, 80.00, 100.00, 24.00, 0.26, -2.00, 0.00, -2.00, 0.00, 0.00, 0.00
303 Square Bass, 75.00, 0.00, 0.00, 1.00, 49.00, 0.00, 55.00, 75.00, 38.00, 35.00, 0.00, 14.00, 49.00, 0.00, 39.00, 0.00, 80.00, 100.00, 24.00, 0.26, -2.00, 0.00, -2.00, 0.00, 0.00, 0.00
Analog Bass, 100.00, -12.00, -10.90, 1.00, 19.00, 0.00, 30.00, 51.00, 70.00, 9.00, -100.00, 0.00, 88.00, 0.00, 21.00, 0.00, 50.00, 100.00, 46.00, 0.81, 0.00, 0.00, -1.00, 0.00, 0.00, 0.00
Analog Bass 2, 100.00, -12.00, -10.90, 0.00, 19.00, 13.44, 48.00, 43.00, 88.00, 0.00, 60.00, 0.00, 0.00, 0.00, 0.00, 0.00, 61.00, 100.00, 32.00, 0.81, 0.00, 0.00, -1.00, 0.00, 0.00, 0.00
Low Pulses, 97.00, -12.00, -3.30, 0.00, 35.00, 0.00, 80.00, 40.00, 4.00, 0.00, 0.00, 0.00, 77.00, 0.00, 25.00, 0.00, 50.00, 100.00, 30.00, 0.81, -68.00, 0.00, -2.00, 0.00, 0.00, 1.00
Sine Infra-Bass, 0.00, -12.00, 0.00, 0.00, 35.00, 0.00, 33.00, 76.00, 6.00, 0.00, 0.00, 0.00, 30.00, 0.00, 25.00, 0.00, 55.00, 25.00, 30.00, 0.81, 4.00, 0.00, -2.00, 0.00, 0.00, 0.00
Wobble Bass [SA], 100.00, -12.00, -8.80, 0.00, 82.00, 0.21, 72.00, 47.00, -32.00, 34.00, 64.00, 20.00, 69.00, 100.00, 15.00, 9.00, 50.00, 100.00, 7.00, 0.81, -8.00, 0.00, -1.00, 0.00, 0.00, 0.00
Squelch Bass, 100.00, -12.00, -8.80, 0.00, 35.00, 0.00, 67.00, 70.00, -48.00, 0.00, 0.00, 48.00, 69.00, 100.00, 15.00, 0.00, 50.00, 100.00, 7.00, 0.81, -8.00, 0.00, -1.00, 0.00, 0.00, 0.00
Rubber Bass [ZF], 49.00, -12.00, 1.60, 1.00, 35.00, 0.00, 36.00, 15.00, 50.00, 20.00, 0.00, 0.00, 38.00, 0.00, 25.00, 0.00, 60.00, 100.00, 22.00, 0.19, 0.00, 0.00, -2.00, 0.00, 0.00, 0.00
Soft Pick Bass, 37.00, 0.00, 7.80, 0.00, 22.00, 0.00, 33.00, 47.00, 42.00, 16.00, 18.00, 0.00, 0.00, 0.00, 25.00, 4.00, 58.00, 0.00, 22.00, 0.15, -12.00, 33.00, -2.00, 0.00, 0.00, 0.00
Fretless Bass, 50.00, 0.00, -14.40, 1.00, 34.00, 0.00, 51.00, 0.00, 16.00, 0.00, 34.00, 0.00, 9.00, 0.00, 25.00, 20.00, 85.00, 0.00, 30.00, 0.81, 40.00, 0.00, -2.00, 0.00, 0.00, 0.00
Whistler, 23.00, 0.00, -0.70, 0.00, 35.00, 0.00, 33.00, 100.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 25.00, 68.00, 39.00, 58.00, 36.00, 0.81, 28.00, 38.00, 2.00, 0.00, 0.00, 1.00
Very Soft Pad, 39.00, 0.00, -4.90, 2.00, 12.00, 0.00, 35.00, 78.00, 0.00, 0.00, 0.00, 0.00, 30.00, 0.00, 25.00, 35.00, 50.00, 80.00, 70.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
Pizzicato, 0.00, -12.00, 0.00, 0.00, 35.00, 0.00, 23.00, 20.00, 50.00, 0.00, 0.00, 0.00, 22.00, 0.00, 25.00, 0.00, 47.00, 0.00, 30.00, 0.81, 0.00, 80.00, 0.00, 0.00, 0.00, 1.00
Synth Strings, 100.00, 0.00, -7.10, 0.00, 0.00, -0.97, 42.00, 26.00, 50.00, 14.00, 38.00, 0.00, 67.00, 55.00, 97.00, 82.00, 70.00, 100.00, 42.00, 0.84, 34.00, 30.00, 0.00, 0.00, 0.00, 1.00
Synth Strings 2, 75.00, 0.00, -3.80, 0.00, 49.00, 0.00, 55.00, 16.00, 38.00, 8.00, -60.00, 76.00, 29.00, 76.00, 100.00, 46.00, 80.00, 100.00, 39.00, 0.79, -46.00, 0.00, 1.00, 0.00, 0.00, 1.00
Leslie Organ, 0.00, 0.00, 0.00, 0.00, 13.00, -0.38, 38.00, 74.00, 8.00, 20.00, -100.00, 0.00, 55.00, 52.00, 31.00, 0.00, 17.00, 73.00, 28.00, 0.87, -52.00, 0.00, -1.00, 0.00, 0.00, 1.00
Click Organ, 50.00, 12.00, 0.00, 0.00, 35.00, 0.00, 44.00, 50.00, 30.00, 16.00, -100.00, 0.00, 0.00, 18.00, 0.00, 0.00, 75.00, 80.00, 0.00, 0.81, -2.00, 0.00, 0.00, 0.00, 0.00, 1.00
Hard Organ, 89.00, 19.00, -0.90, 0.00, 35.00, 0.00, 51.00, 62.00, 8.00, 0.00, -100.00, 0.00, 37.00, 0.00, 100.00, 4.00, 8.00, 72.00, 4.00, 0.77, -2.00, 0.00, 0.00, 0.00, 0.00, 1.00
Bass Clarinet, 100.00, 0.00, 0.00, 1.00, 0.00, 0.00, 51.00, 10.00, 0.00, 11.00, 0.00, 0.00, 0.00, 0.00, 25.00, 35.00, 65.00, 65.00, 32.00, 0.79, -2.00, 20.00, -1.00, 0.00, 0.00, 1.00
Trumpet, 0.00, 0.00, 0.00, 1.00, 6.00, 0.00, 57.00, 0.00, -36.00, 15.00, 0.00, 21.00, 15.00, 0.00, 25.00, 24.00, 60.00, 80.00, 10.00, 0.75, 10.00, 25.00, 1.00, 0.00, 0.00, 0.00
Soft Horn, 12.00, 19.00, 1.90, 0.00, 35.00, 0.00, 50.00, 21.00, -42.00, 12.00, 20.00, 0.00, 35.00, 36.00, 25.00, 8.00, 50.00, 100.00, 27.00, 0.83, 2.00, 10.00, -1.00, 0.00, 0.00, 1.00
Brass Section, 43.00, 12.00, -7.90, 0.00, 28.00, -0.79, 50.00, 0.00, 18.00, 0.00, 0.00, 24.00, 16.00, 91.00, 8.00, 17.00, 50.00, 80.00, 45.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
Synth Brass, 40.00, 0.00, -6.30, 0.00, 30.00, -3.07, 39.00, 15.00, 50.00, 0.00, 0.00, 39.00, 30.00, 82.00, 25.00, 33.00, 74.00, 76.00, 41.00, 0.81, -6.00, 23.00, 0.00, 0.00, 0.00, 1.00
Detuned Syn Brass [ZF], 68.00, 0.00, 31.80, 0.00, 31.00, 0.50, 26.00, 7.00, 70.00, 0.00, 32.00, 0.00, 83.00, 0.00, 5.00, 0.00, 75.00, 54.00, 32.00, 0.76, -26.00, 29.00, 0.00, 0.00, 0.00, 1.00
Power PWM, 100.00, -12.00, -8.80, 0.00, 35.00, 0.00, 82.00, 13.00, 50.00, 0.00, -100.00, 24.00, 30.00, 88.00, 34.00, 0.00, 50.00, 100.00, 48.00, 0.71, -26.00, 0.00, -1.00, 0.00, 0.00, 1.00
Water Velocity [SA], 76.00, 0.00, -1.40, 0.00, 49.00, 0.00, 87.00, 67.00, 100.00, 32.00, -82.00, 95.00, 56.00, 72.00, 100.00, 4.00, 76.00, 11.00, 46.00, 0.88, 44.00, 0.00, -1.00, 0.00, 0.00, 1.00
Ghost [SA], 75.00, 0.00, -7.10, 2.00, 16.00, -0.00, 38.00, 58.00, 50.00, 16.00, 62.00, 0.00, 30.00, 40.00, 31.00, 37.00, 50.00, 100.00, 54.00, 0.85, 66.00, 43.00, 0.00, 0.00, 0.00, 1.00
